source_id,reservoir_id,reservoir_name,title,url,raw_host,official_owner,document_type,source_tier,selection_reason,access_date,acquisition_method,content_type,content_sha256,duplicate_of,status,raw_file_saved,raw_file_path,extracted_text_saved,extracted_text_path,extracted_text_length
LP-20260626-A-011,597,Lake Powell,Post-2026 Appendix A CRSS Model Documentation,https://www.usbr.gov/ColoradoRiverBasin/post2026/draft-eis/docs/vol-2/P26-DEIS-Appendix-A.pdf,www.usbr.gov,Bureau of Reclamation,technical_memo,TR-A,Official CRSS model documentation for post-2026 analysis.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,2ee0595636786b42b40a621bd61290024a4611afcc67b80a1a6ad6b2b44adca2,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-A-011_post_2026_appendix_a_crss_model_documentation.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-A-011_post_2026_appendix_a_crss_model_documentation.txt,170657
LP-20260626-A-012,597,Lake Powell,June 2026 Most Probable 24-Month Study,https://www.usbr.gov/lc/region/g4000/24mo.pdf,www.usbr.gov,Bureau of Reclamation,operating_plan,TR-A,Official 24-Month Study with current Lake Powell operations and projections.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,5a68dc21de15f5a7506df3ecb7dcee7a2dcfea6134d64f3c8bd1691114217e16,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-A-012_june_2026_most_probable_24_month_study.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-A-012_june_2026_most_probable_24_month_study.txt,47008
LP-20260626-A-013,597,Lake Powell,Upper Colorado Basin 24-Month Study Inflow Scenarios,https://www.usbr.gov/uc/water/crsp/studies/images/PowellElevations.pdf,www.usbr.gov,Bureau of Reclamation,data_system_documentation,TR-A,Official 24-Month Study inflow scenario PDF for Lake Powell elevations and releases.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,3eef008f40671bd452369319f600b898a33578316f06753be577071db6af3b6f,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-A-013_upper_colorado_basin_24_month_study_inflow_scenarios.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-A-013_upper_colorado_basin_24_month_study_inflow_scenarios.txt,4095
LP-20260626-A-014,597,Lake Powell,Drought Response Operations Agreement page,https://usbr.gov/ColoradoRiverBasin/dcp/droa.html,usbr.gov,Bureau of Reclamation,agency_webpage,TR-A,Official DROA page explaining drought response operations to protect Lake Powell elevations.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,text/html; charset=UTF-8,311ef9e3e8cfde5fa52dd4a2c95dc3790c86ee919fced7b63abd3937c18b0e43,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-A-014_drought_response_operations_agreement_page.html,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-A-014_drought_response_operations_agreement_page.txt,7585
LP-20260626-A-015,597,Lake Powell,2026 Drought Response Operations Plan Summary and Framework,https://usbr.gov/ColoradoRiverBasin/documents/dcp/DROA/2026/uc-2026droughtresponseoperationsplan-summaryandframework-508-20260423.pdf,usbr.gov,Bureau of Reclamation,operating_plan,TR-A,Official 2026 DROA framework for Lake Powell monthly operational adjustments.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,1bd6185dbdb1caeac166ce39da932196dca2f704945b3874e4e099cd41b37f0f,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-A-015_2026_drought_response_operations_plan_summary_and_framework.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-A-015_2026_drought_response_operations_plan_summary_and_framework.txt,78601
LP-20260626-A-016,597,Lake Powell,2026 Drought Response Operations Plan Attachments,https://usbr.gov/ColoradoRiverBasin/documents/dcp/DROA/2026/uc-2026droughtresponseoperationsplan-attachmentsa-h-508-20260423.pdf,usbr.gov,Bureau of Reclamation,operating_plan,TR-A,Official 2026 DROA attachments with operational assumptions and hydrologic context.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,a32a3f8308ff9cbad2e5fd1bf0408a36f71ec1a68262b15812f25367124726bb,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-A-016_2026_drought_response_operations_plan_attachments.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-A-016_2026_drought_response_operations_plan_attachments.txt,97591
LP-20260626-A-017,597,Lake Powell,Colorado River Basin Drought Contingency Plans page,https://www.usbr.gov/ColoradoRiverBasin/dcp/index.html,www.usbr.gov,Bureau of Reclamation,agency_webpage,TR-A,Official DCP page explaining DROA and critical Lake Powell elevation logic.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,text/html; charset=UTF-8,e5a3713f3fb66ece922f6734678fc0a2d937b7e2d11a274a0a0f7758d6574b2f,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-A-017_colorado_river_basin_drought_contingency_plans_page.html,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-A-017_colorado_river_basin_drought_contingency_plans_page.txt,11587
LP-20260626-A-018,597,Lake Powell,Reclamation Acts to Protect Colorado River System,https://www.usbr.gov/newsroom/news-release/5326,www.usbr.gov,Bureau of Reclamation,event_case_report,TR-A,Official Reclamation action/news release on protecting Lake Powell and Glen Canyon Dam under low reservoir risk.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,text/html; charset=utf-8,053dc59962de403d0dd8f1baf3ef8d50fcf95b885ecb86e8812e475cca64c189,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-A-018_reclamation_acts_to_protect_colorado_river_system.html,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-A-018_reclamation_acts_to_protect_colorado_river_system.txt,8222
LP-20260626-A-019,597,Lake Powell,Reclamation announces river outlet works relining at Glen Canyon Dam,https://www.usbr.gov/newsroom/news-release/4946,www.usbr.gov,Bureau of Reclamation,event_case_report,TR-A,Official news release on Glen Canyon Dam river outlet works relining.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,text/html; charset=utf-8,6363d1d428dc6b81901b2da8b09ca80db45b4e7130672649f3a92783ab4859e0,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-A-019_reclamation_announces_river_outlet_works_relining_at_glen_canyon_dam.html,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-A-019_reclamation_announces_river_outlet_works_relining_at_glen_canyon_dam.txt,6444
LP-20260626-A-020,597,Lake Powell,Reclamation completes low-water intake connection at Glen Canyon Dam,https://www.usbr.gov/newsroom/news-release/4405,www.usbr.gov,Bureau of Reclamation,event_case_report,TR-A,Official news release on infrastructure for low Lake Powell levels and dead pool context.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,text/html; charset=utf-8,ed5b880f0bd3d40915bb82b9953be19e30482abecfdd8c20759557e3a4782124,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-A-020_reclamation_completes_low_water_intake_connection_at_glen_canyon_dam.html,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-A-020_reclamation_completes_low_water_intake_connection_at_glen_canyon_dam.txt,5481
LP-20260626-A-021,597,Lake Powell,Colorado River Storage Project Fact Sheet,https://www.usbr.gov/ColoradoRiverBasin/MediaKit/20220100-ColoradoRiverStorageProjectFactSheet-508-UCRO.pdf,www.usbr.gov,Bureau of Reclamation,technical_memo,TR-A,"Official CRSP fact sheet covering hydropower, compact compliance, and DCP context.",2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,43a50f6e4346049de2f160856f7afb9ab6089fce3b622ab888b5dcdc245ca2e3,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-A-021_colorado_river_storage_project_fact_sheet.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-A-021_colorado_river_storage_project_fact_sheet.txt,4197
LP-20260626-B-001,597,Lake Powell,Dams and Rivers: A Primer on the Downstream Effects of Dams,https://pubs.usgs.gov/circ/1996/1126/report.pdf,pubs.usgs.gov,U.S. Geological Survey circular/U.S. Geological Survey Circular,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,d13736435f077e0cc8a8a601bb015168fc0675a7ca5fa296f700eed9d54ce264,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-B-001_dams_and_rivers_a_primer_on_the_downstream_effects_of_dams.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-B-001_dams_and_rivers_a_primer_on_the_downstream_effects_of_dams.txt,177725
LP-20260626-B-002,597,Lake Powell,A multimodel ensemble approach to assessment of climate change impacts on the hydrology and water resources of the Colorado River Basin,https://hess.copernicus.org/articles/11/1417/2007/hess-11-1417-2007.pdf,hess.copernicus.org,Hydrology and earth system sciences,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,043ad1402bf555e12bc6bf3756ed5ff4150647d7b8ae9fe2fc0423a1b02f312e,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-B-002_a_multimodel_ensemble_approach_to_assessment_of_climate_change_impacts_on_the_hy.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-B-002_a_multimodel_ensemble_approach_to_assessment_of_climate_change_impacts_on_the_hy.txt,80794
LP-20260626-B-003,597,Lake Powell,Designing flows to resolve human and environmental water needs in a dam-regulated river,https://www.nature.com/articles/s41467-017-02226-4.pdf,www.nature.com,Nature Communications,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,text/html; charset=utf-8,32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-B-003_designing_flows_to_resolve_human_and_environmental_water_needs_in_a_dam_regulate.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-B-003_designing_flows_to_resolve_human_and_environmental_water_needs_in_a_dam_regulate.txt,59
LP-20260626-B-004,597,Lake Powell,"Turbidity, light, temperature, and hydropeaking control primary productivity in the Colorado River, Grand Canyon",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/lno.10031,onlinelibrary.wiley.com,Limnology and Oceanography,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,,,,failed: HTTP Error 403: Forbidden,False,,False,,0
LP-20260626-B-005,597,Lake Powell,Collaborative Planning and Adaptive Management in Glen Canyon: A Cautionary Tale,https://scholarship.law.uci.edu/cgi/viewcontent.cgi?article=1171&context=faculty_scholarship,scholarship.law.uci.edu,eYLS (Yale Law School),research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,,,,failed: <urlopen error [Errno 11001] getaddrinfo failed>,False,,False,,0
LP-20260626-B-006,597,Lake Powell,Decision analysis to support development of the Glen Canyon Dam long-term experimental and management plan,https://pubs.usgs.gov/sir/2015/5176/sir20155176.pdf,pubs.usgs.gov,Scientific investigations report,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,140448c268facffed918c7778a79cc5625367e06ac6ca6415bc909e3d0df4427,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-B-006_decision_analysis_to_support_development_of_the_glen_canyon_dam_long_term_experi.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-B-006_decision_analysis_to_support_development_of_the_glen_canyon_dam_long_term_experi.txt,290791
LP-20260626-B-007,597,Lake Powell,Inferred inflow forecast horizons guiding reservoir release decisions across the United States,https://hess.copernicus.org/articles/24/1275/2020/hess-24-1275-2020.pdf,hess.copernicus.org,Hydrology and earth system sciences,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,d8dcfc31fe696750c3858c5b192c1696888f5be9bb4d2ec2fda90788e60b216d,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-B-007_inferred_inflow_forecast_horizons_guiding_reservoir_release_decisions_across_the.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-B-007_inferred_inflow_forecast_horizons_guiding_reservoir_release_decisions_across_the.txt,72605
LP-20260626-B-008,597,Lake Powell,Financial Analysis of the 2018 Glen Canyon Dam Bug Flow Experiment,https://www.osti.gov/servlets/purl/1526634,www.osti.gov,,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,2138196776812bbcc7b992d5d0e4ac36c9ecab09ada65d60467106e3bd2ebd98,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-B-008_financial_analysis_of_the_2018_glen_canyon_dam_bug_flow_experiment.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-B-008_financial_analysis_of_the_2018_glen_canyon_dam_bug_flow_experiment.txt,77900
LP-20260626-B-009,597,Lake Powell,Financial Analysis of Experimental Releases Conducted at Glen Canyon Dam during Water Year 2021,https://www.osti.gov/biblio/1879534,www.osti.gov,,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,text/html;charset=UTF-8,bd544b13a45e03fdef350d8638d1f7dbab4e2e827bd96fe1b967a4cc8e478e6b,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-B-009_financial_analysis_of_experimental_releases_conducted_at_glen_canyon_dam_during_.html,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-B-009_financial_analysis_of_experimental_releases_conducted_at_glen_canyon_dam_during_.txt,5772
LP-20260626-B-010,597,Lake Powell,Financial Analysis of the High Flow Experiment conducted at the Glen Canyon Dam during Water Year 2023,https://www.osti.gov/servlets/purl/2587205,www.osti.gov,,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,0c1f363d5530cba60f8d7d5cca35f373e625c84e548750d724201174a283e9aa,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-B-010_financial_analysis_of_the_high_flow_experiment_conducted_at_the_glen_canyon_dam_.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-B-010_financial_analysis_of_the_high_flow_experiment_conducted_at_the_glen_canyon_dam_.txt,42716
LP-20260626-B-011,597,Lake Powell,Loss of Glen Canyon Dam Hydropower Plant Capabilities,https://www.osti.gov/servlets/purl/3022829,www.osti.gov,,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,011f05efc89ee32deaecf860ce1dc6fd39f7a5d8ec495b207eb4652de63a8272,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-B-011_loss_of_glen_canyon_dam_hydropower_plant_capabilities.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-B-011_loss_of_glen_canyon_dam_hydropower_plant_capabilities.txt,190480
LP-20260626-B-012,597,Lake Powell,A literature review and hypsometric analysis to support decisions on trout management flows on the Colorado River downstream from Glen Canyon Dam,https://pubs.usgs.gov/of/2024/1033/ofr20241033.pdf,pubs.usgs.gov,Antarctica A Keystone in a Changing World,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,69d72d9c3871ae65859cd62629d7a2709ac1646bb83080ee09d64a632b2d1df1,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-B-012_a_literature_review_and_hypsometric_analysis_to_support_decisions_on_trout_manag.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-B-012_a_literature_review_and_hypsometric_analysis_to_support_decisions_on_trout_manag.txt,205297
LP-20260626-B-013,597,Lake Powell,Understanding Uncertainties in Future Colorado River Streamflow,https://journals.ametsoc.org/downloadpdf/journals/bams/95/1/bams-d-12-00228.1.pdf,journals.ametsoc.org,Bulletin of the American Meteorological Society,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,,,,failed: HTTP Error 403: Forbidden,False,,False,,0
LP-20260626-B-014,597,Lake Powell,Sustainable water deliveries from the Colorado River in a changing climate,https://www.pnas.org/doi/pdf/10.1073/pnas.0812762106,www.pnas.org,Proceedings of the National Academy of Sciences,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,,,,failed: HTTP Error 403: Forbidden,False,,False,,0
LP-20260626-B-015,597,Lake Powell,"Flow Management for Hydropower Extirpates Aquatic Insects, Undermining River Food Webs",https://academic.oup.com/bioscience/article-pdf/66/7/561/17462176/biw059.pdf,academic.oup.com,BioScience,research_paper,TR-B,OpenAlex-discovered research/technical source expected to support Lake Powell operation KU extraction or source verification.,2026-06-26,stage1_rerun_20260626_cached_discovery_live_download,application/pdf,86109030e4c3048420454aceddeee9d640be994842e6d372bd257c90a5283b2b,,ok,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\raw\LP-20260626-B-015_flow_management_for_hydropower_extirpates_aquatic_insects_undermining_river_food.pdf,True,case study\reservoir-knowledge-base-agentic-workflow\runs\lake_powell_20260626\sources\text\LP-20260626-B-015_flow_management_for_hydropower_extirpates_aquatic_insects_undermining_river_food.txt,77583
